type_of_action,traveled_distance_pixel,elapsed_time,direction_of_movement,straightness,num_points,sum_of_angles,mean_curv,sd_curv,max_curv,min_curv,mean_omega,sd_omega,max_omega,min_omega,largest_deviation,dist_end_to_end_line,num_critical_points,mean_vx,sd_vx,max_vx,min_vx,mean_vy,sd_vy,max_vy,min_vy,mean_v,sd_v,max_v,min_v,mean_a,sd_a,max_a,min_a,mean_jerk,sd_jerk,max_jerk,min_jerk,a_beg_time,userid
4,4363.865218518699,5.560262203216553,6,0.23098640830577788,285,-156.47829942228543,16091794.48299111,191172761.09781495,2356194490.1923447,-2.538790250376209,61.762816772335064,1105.9701628354355,18664.015061363007,-149.58218767015367,581.1466390922131,1007.9935531561429,39,-309.8970941537584,2015.9501983490898,5796.730748880031,-8366.407013149656,81.69349305644481,7171.07438578583,115523.4447592068,-9507.67871882606,2340.3307895417915,7079.118933878197,115523.4447592068,0.0,4756455.605217144,81329038.04958992,1372635825.629802,-27744403.885219723,56232184881.11586,966370360808.6577,16309495563689.465,-343406244046.75946,0.0041620731353759766,user1
4,1696.343849771228,5.408746004104614,3,0.32097476952945125,70,68.45972413499128,0.010157978681350488,0.48086619330768704,3.40782931914825,-1.5779053646347165,3.1138011244753323,9.496331095543548,25.56304763847581,-47.13595183111272,407.85051712169815,544.4835762230219,8,181.36131251899485,3805.673856847818,15156.04507221076,-10463.608627979984,969.1263440694895,1579.6345200502653,6981.333497643181,-1328.9179458414478,3092.100982037899,2896.4474852753237,15156.04507221076,0.0,54144.85891909641,359514.398786842,2093730.2034318987,-663825.8408207067,5447501.757936624,72162339.4132517,385391292.2967147,-159408846.10801166,0.02467203140258789,user1
4,803.8012171827069,2.480051040649414,6,0.5434420432011456,101,-78.45730077626345,15707963.101990536,156292261.15809414,1570796326.7948964,-13.40412865531645,-13.47910533207146,135.19084508259326,174.28239337251387,-1305.5719977308456,192.69741412965098,436.819375793338,21,-3360.333710892692,23916.152502248904,1427.2636147277055,-230316.7081339713,-8124.2554397949225,59970.30500738163,1529.5474697860789,-565365.5885167464,9303.545217952988,64491.54400901184,610478.5292903887,0.0,93918013.1018759,783661529.5882651,7689083102.1339245,-82832185.45937201,1315905538956.3228,11870250140319.047,118601273676641.98,-1061851375563.1686,0.0257418155670166,user1
4,792.8326953539483,2.0901753902435303,5,0.4314087557871039,127,-69.46261471626254,32360202.692260236,254804563.81822777,2040224218.2393644,-6.750710867150386,-211.75343646351462,2333.89417447081,1084.9276650836255,-26249.449691589693,210.1831585470358,342.03496664998283,27,-3521.3853283248404,33183.9049610544,748.6780805401495,-373693.30268199235,-559.4445400525987,3406.3209903085644,2020.1009459113984,-29943.172413793105,4116.5275342731,33294.77293865833,374891.02155636816,0.0,50553070.42311494,533260501.3024339,6003812637.893881,-69991187.28131613,797671653646.1503,8567478951068.528,96483262793072.03,-1140858919800.6104,0.03752613067626953,user1
4,1348.8469031678885,2.2325229644775355,3,0.3558760281451872,89,12.777982288192725,-71399832.63460608,468200015.8410925,26.8082573106329,-3141592653.5897927,31.861846227738287,193.27349201298338,1795.9253281645067,-44.311258514916766,206.69343833497604,480.02227847532413,14,4043.7233090284603,42986.940548167935,346196.82840236684,-104278.61654135339,8390.225762654389,54006.2750249388,461563.4556213018,-47406.83709273183,14191.710670390537,68190.15863419931,576968.8618642563,0.0,151301436.31684437,927028535.3493806,7748271454.848214,-94737793.97852655,1922860662879.098,11783823686237.574,93075595860412.38,-1306743666655.7158,0.04011678695678356,user1
4,718.8354358833968,2.1236181259155273,7,0.57188282627068,120,-74.11112537838606,-26399938.349763036,286776734.3511731,3.0755561452984326,-3141592653.5897927,32.76309243334763,382.93275007509055,3373.0689839441548,-1855.14971342272,157.44005100533397,411.08964069651313,35,1464.44862380107,13417.381433854183,129154.72340425532,-14662.492753623188,-9369.104151431904,65294.844543589716,7408.94117565881,-673197.8702729302,11425.62390324373,66353.76921702971,673197.8702729302,0.0,153739717.97319236,950541667.6201595,9615076124.267797,-124482512.65654464,2219474453976.9614,13626115414997.336,137640288047943.38,-1814375738356.0432,0.023714065551757812,user1
4,2192.279289546003,14.246509075164795,5,0.14954276137028524,205,25.56795032151667,-15399963.80695053,154767722.66903618,13.40412865531645,-1570796326.7948964,80.3858270330699,1037.3654945631242,10765.355092845683,-2988.331940949502,459.16344359112304,327.83949865359637,54,-4435.7472657320195,38225.50016485175,37519.85498489426,-399860.6222222222,1481.870338867187,29490.813239970616,363871.5223880597,-114323.91111111111,9176.041176806048,47629.49706049951,415882.7645571333,0.0,84549957.72878106,662940565.9183875,6762449208.79955,-1664540443.9874766,355401489811.9661,18812083525412.277,112290720368923.94,-222297839048070.66,0.0023679733276367188,user1
4,50.09394615180627,0.4715588092803955,5,0.35746999199736673,45,28.681561945978054,71399832.92341746,327195139.5198782,1570796326.7948964,-12.971737408370759,-381.3312254463513,2607.3575724204024,286.8636442139218,-17475.854951355814,22.270494950602814,17.907082530002707,17,-581.2338973429543,3298.6082855385334,0.0,-22157.409523809525,668.88772351244,4414.218075677713,29491.2,-1347.2254641909815,1056.0638729644827,5480.521012400983,36887.41891547584,0.0,15838172.613746963,101898235.37947594,683835043.6297426,-5628758.229379125,310255634228.04987,2024519114627.5303,13584481990147.496,-105846081109.50998,0.0137627124786448,user1
4,1681.3565766440688,3.093787908554077,2,0.40226142030151546,103,-24.55676416367892,20578504.030205235,206811406.38636583,2099007415.2422683,-2.889829960235136,-2.6699884646703063,33.4545509330989,273.9968485457419,-126.30064171802931,326.58926765654365,676.3448845541369,20,1445.5752172450143,7372.910924274009,71991.94701986756,-3053.8031715674556,1277.2991801397202,11949.596232739532,117020.82119205299,-16266.971428571429,3569.0023845671108,13716.27021117748,137392.55084673935,0.0,18746591.9114071,187212978.91148153,1899887777.1405854,-18648495.563247956,256681486020.86044,2600143145198.2993,26386436979117.83,-262748134354.6914,0.03973197937011719,user1
4,657.8978109330961,1.107961893081665,6,0.5217047917463707,93,-157.9904401519059,17073873.09762378,162874368.86852235,1570796326.7948964,-4.944984493179606,10.758681932396241,47.68843768519913,388.3294422174432,-95.25760969089616,120.21549231980926,343.2284404432441,23,652.3830263914745,9882.076695838741,94018.11920529802,-5602.063990601136,-258.9088290882462,294.06344974178234,45.77712120238937,-1399.578161455903,1906.5205210386216,9726.239254340568,94018.11920529802,0.0,13887625.507381475,134221813.4498935,1294169804.229294,-17107197.05630063,192741732102.59894,1864261192408.8042,17975008367835.707,-245016900770.71213,0.05767822265625,user1
